iteration,elapsed_seconds,objective_value
0,0.0,4065
3,0.002012374927289784,4130
8,0.004351916955783963,4163
9,0.005079249967820942,4278
10,0.005308541934937239,4318
14,0.006884916918352246,4331
22,0.01092879194766283,4349
24,0.012793832924216986,4351
29,0.0144916248973459,4402
31,0.015507124946452677,4426
36,0.01766199991106987,4469
118,0.06621329195331782,4502
126,0.0694367919350043,4522
127,0.06994404189754277,4530
142,0.0789427919080481,4545
198,0.10785391693934798,4627
206,0.11441999999806285,4639
211,0.11709258297923952,4649
321,0.17160358291584998,4669
345,0.18350795796141028,4708
349,0.1859724170062691,4730
353,0.1876410829136148,4745
364,0.197106207953766,4753
433,0.22565737494733185,4782
459,0.23731749993748963,4800
957,0.4706464170012623,4818
8610,3.813848999910988,4825
8613,3.815158999990672,4828
10497,4.614486666978337,4834
17668,7.907656249939464,4840
17673,7.909297999925911,4853
18054,8.067273291992024,4859
36238,15.95329924998805,4872
36472,16.06142583291512,4873
36474,16.062793374992907,4874
62899,27.42751262499951,4894
62908,27.43125170795247,4912
84699,37.073207666981034,4915
84702,37.07434733293485,4923
84954,37.19054779200815,4926
84956,37.19156449998263,4930
