iteration,elapsed_seconds,objective_value
0,0.0,1501
9,0.0023812910076230764,1548
12,0.0029945001006126404,1583
13,0.003205541055649519,1602
15,0.003931833081878722,1627
48,0.01183616602793336,1666
184,0.04059000010602176,1669
189,0.04184929106850177,1689
320,0.07524837506935,1700
342,0.08092429104726762,1712
848,0.18969025008846074,1714
868,0.19431175000499934,1770
1162,0.25398850010242313,1780
1503,0.32276945805642754,1786
3248,0.6549348750850186,1793
5945,1.1961644160328433,1798
29409,6.113048250088468,1801
35532,7.293370250030421,1806
110626,21.87382045807317,1815
