iteration,elapsed_seconds,objective_value
0,0.0,18732
1,0.0030848330352455378,18781
2,0.0061839999398216605,19206
3,0.018865791033022106,19209
5,0.02179883304052055,19676
7,0.03748900000937283,19677
8,0.04010620794724673,19728
9,0.04307341598905623,19781
12,0.05835958302486688,19807
14,0.06772933294996619,19985
15,0.06964154099114239,20137
17,0.07236354099586606,20155
26,0.09948658302892,20229
36,0.14330979099031538,20279
51,0.18983549997210503,20305
52,0.19121529103722423,20320
54,0.1955853330437094,20477
55,0.19814183295238763,20603
57,0.20810108294244856,20631
65,0.2271860409528017,20657
69,0.24008195800706744,20756
71,0.24431300000287592,20761
72,0.2464322909945622,20820
73,0.25007687497418374,20883
77,0.2617791249649599,21128
78,0.26500783301889896,21382
82,0.27592924993950874,21481
86,0.2893238329561427,21648
91,0.3035992910154164,21721
93,0.30909833300393075,21860
96,0.31667704100254923,21892
100,0.3310374580323696,21954
115,0.3756706250132993,22007
116,0.3782167909666896,22013
123,0.40694670798256993,22026
125,0.41094287496525794,22069
176,0.5738407500321046,22184
188,0.6151168750366196,22202
190,0.6215108330361545,22233
202,0.653600333025679,22257
285,0.8685374159831554,22263
286,0.8706172909587622,22292
305,0.9239912909688428,22316
307,0.9274133750004694,22330
315,0.9523426659870893,22353
317,0.9580138749442995,22387
377,1.1077626659534872,22400
378,1.10975512501318,22426
380,1.113738290965557,22437
382,1.1189821659354493,22478
410,1.1940671659540385,22533
420,1.2246568750124425,22576
434,1.2576934579992667,22597
558,1.5764373330166563,22607
559,1.5792375829769298,22635
560,1.581487915944308,22780
563,1.5872009579325095,22805
564,1.5892249159514904,22834
599,1.6757004159735516,22842
623,1.7262959580402821,22900
630,1.7550471660215408,22970
633,1.7599052910227329,23014
637,1.7797252079471946,23061
652,1.8278612500289455,23093
717,2.0245266249403358,23099
724,2.041900624986738,23144
725,2.0428319999482483,23174
727,2.0482708329800516,23176
730,2.0589223329443485,23201
734,2.0694229160435498,23232
746,2.105673750047572,23255
748,2.1121547910152003,23329
809,2.276573457987979,23362
810,2.278875165968202,23374
845,2.387099915998988,23385
862,2.4343636659905314,23386
884,2.5211614159634337,23393
1049,2.992700665956363,23401
1055,3.0091065409360453,23438
1063,3.0300084579503164,23448
1065,3.035618416033685,23500
1109,3.1764425829751417,23513
1114,3.189538041013293,23541
1137,3.2490113750100136,23564
1139,3.2531981660285965,23641
1145,3.2755530000431463,23642
1146,3.2769701660145074,23677
1152,3.2940834999317303,23718
3133,8.309685250045732,23770
3328,8.772679041023366,23858
3329,8.775290040997788,23914
5804,14.617254915996455,23932
6712,16.79567879100796,23958
6724,16.828206000034697,23959
6725,16.83011062501464,23964
6728,16.838470290997066,23972
7670,19.10489533294458,23981
8188,20.36197624995839,24036
8327,20.690422707935795,24056
8331,20.69682750001084,24061
8442,20.975895707961172,24070
8444,20.980873082997277,24080
10527,26.098008207976818,24097
10530,26.105954083031975,24152
10532,26.10880583303515,24175
10533,26.10988687502686,24184
11138,27.602766374940984,24187
11189,27.730647624935955,24194
12664,31.298374332953244,24244
12667,31.308768249931745,24252
15582,38.48491574998479,24274
15584,38.488850457943045,24280
15588,38.49737641599495,24283
15611,38.55379899998661,24323
15619,38.572107124957256,24348
16157,39.84870650002267,24350
16162,39.86412341601681,24364
17157,42.30225862504449,24372
17189,42.38221541594248,24382
17194,42.39534504094627,24384
18054,44.56356808298733,24405
18070,44.60372975002974,24417
18073,44.6091220829403,24434
18192,44.8909104160266,24468
18194,44.899139625020325,24478
18196,44.90564904094208,24504
18210,44.94052612502128,24576
18473,45.61499333300162,24607
20075,49.386575707932934,24608
20080,49.39754020795226,24614
25084,61.258508958038874,24628
25087,61.2639239160344,24630
25109,61.324170875013806,24651
26882,65.5827137909364,24666
26888,65.59443774993997,24685
27668,67.30450095795095,24695
31334,75.46834562497679,24702
31370,75.54880504100583,24704
31381,75.57654220797122,24733
31515,75.88238404097501,24740
31544,75.94476112502161,24760
31639,76.14048929093406,24772
34256,82.17998566594906,24785
34357,82.42830887495074,24792
34382,82.48846641601995,24815
37805,90.22966391593218,24852
37826,90.27168083295692,24854
37867,90.3725242910441,24866
38644,92.37623375002295,24868
38670,92.46185695799068,24878
39357,94.15030870796181,24881
39517,94.56020308297593,24882
39558,94.67066420800984,24887
39714,95.04677020793315,24896
40959,98.04950037493836,24912
41230,98.64318250003271,24924
44741,106.55456004093867,24944
45408,108.03732187498827,24950
45545,108.34101162501611,24951
45586,108.44453320803586,24954
45646,108.59385566599667,24963
45653,108.61235266597942,24984
45674,108.66038162494078,24993
45866,109.11656574998051,24994
47528,113.01072516595013,25010
47532,113.02132183301728,25016
47806,113.74012587498873,25019
49242,116.97228441596963,25021
51301,121.620575790992,25036
51414,121.91071666602511,25039
57697,136.2328042909503,25043
57700,136.23968187498394,25046
57746,136.34358666604385,25053
58884,138.90310358302668,25055
58920,138.99503466603346,25063
59494,140.3102707079379,25071
59786,140.95919229101855,25073
60141,141.7504339159932,25074
62473,147.1124113330152,25078
62607,147.41783483303152,25079
62689,147.60647912498098,25086
65782,154.77372983295936,25096
66161,155.63122491596732,25097
67646,159.05393941595685,25101
67946,159.73331483302172,25105
68611,161.3602952499641,25106
72877,170.98572224995587,25117
73899,173.2481755829649,25123
77147,180.7072361659957,25125
80644,189.72962583298795,25126
88059,206.73417637497187,25127
91716,215.0734163329471,25134
201166,468.9684822909767,25136
201804,470.46285662497394,25140
