iteration,elapsed_seconds,objective_value
0,0.0,2058
1,0.00023466709535568953,2077
4,0.0019661670085042715,2104
5,0.0022992920130491257,2118
7,0.00270995800383389,2129
9,0.0037493749987334013,2155
10,0.003968792036175728,2188
11,0.004297542036511004,2290
21,0.00724037503823638,2328
31,0.013676625094376504,2357
32,0.013937042094767094,2370
33,0.014295583008788526,2406
34,0.015494542079977691,2464
36,0.016076792031526566,2505
50,0.020720000029541552,2523
51,0.020959499990567565,2544
52,0.021302167093381286,2580
61,0.02721479209139943,2623
114,0.04441387508995831,2631
157,0.059546375065110624,2639
203,0.07843329198658466,2676
217,0.08332104200962931,2730
845,0.3083005000371486,2756
2222,0.7496623330516741,2760
2232,0.7524966250639409,2782
2259,0.7610110830282792,2790
133329,40.99033245805185,2793
340025,105.67547754198313,2794
860575,266.2949978749966,2798
