iteration,elapsed_seconds,objective_value
0,0.0,16277
1,0.0009568330133333802,16302
2,0.0018690830329433084,16355
4,0.00584704102948308,16422
5,0.007656540954485536,16452
6,0.00932724995072931,16574
9,0.051379250013269484,16593
15,0.06916604097932577,16812
16,0.07004129106644541,16866
18,0.07419987500179559,16892
19,0.08175737503916025,16925
25,0.09753041598014534,16930
30,0.1114928750321269,17010
31,0.11253325000870973,17168
32,0.11555570806376636,17196
35,0.12132812500931323,17367
36,0.12233533302787691,17424
38,0.12513416598085314,17495
41,0.1346115410560742,17562
43,0.14738404098898172,17594
50,0.16465920803602785,17740
51,0.16656470799352974,17786
54,0.17192624998278916,17794
64,0.19461304100695997,17804
68,0.20401166600640863,17822
76,0.22212074999697506,17875
80,0.22868791595101357,17935
81,0.23009845800697803,17958
82,0.23379087506327778,17988
89,0.26610616606194526,18050
93,0.28267400001641363,18066
97,0.2891905000433326,18155
102,0.3050993330543861,18218
108,0.3168380829738453,18219
124,0.3693884579697624,18240
129,0.38735658302903175,18290
171,0.47351375001017004,18411
176,0.4852269160328433,18495
181,0.4944797500502318,18569
197,0.533982333028689,18658
199,0.5369701660238206,18792
203,0.5481889160582796,18863
207,0.5543743750313297,18867
209,0.558839250006713,18880
214,0.5751115829916671,18885
215,0.5768424579873681,18904
219,0.5816193330101669,18943
223,0.587532207951881,19000
256,0.6566894580610096,19117
257,0.6586436659563333,19145
259,0.6623436659574509,19163
260,0.6642761250259355,19165
273,0.6902830830076709,19178
342,0.8497886250261217,19180
350,0.8659932910231873,19238
352,0.870503208017908,19263
353,0.873393208021298,19338
454,1.09312612505164,19415
460,1.1051832500379533,19497
462,1.1093592080287635,19512
473,1.1305924580665305,19593
537,1.268628083053045,19615
538,1.27092200005427,19661
539,1.2721552910516039,19687
544,1.2858170410618186,19702
546,1.2902874159626663,19714
553,1.3034445829689503,19751
556,1.3074416250456125,19761
626,1.450662250048481,19786
654,1.5092782080173492,19850
664,1.5328709579771385,19854
673,1.5483447080478072,19946
675,1.5548372500343248,19971
694,1.590931124985218,19973
696,1.5944070409750566,20012
702,1.6073736250400543,20018
733,1.6712183329509571,20022
744,1.6927546249935403,20079
746,1.6978321250062436,20093
747,1.6992184580303729,20123
748,1.7001927910605446,20143
753,1.7114158750046045,20167
771,1.7474510410102084,20184
772,1.7483353749848902,20189
813,1.837129499996081,20203
821,1.850030791014433,20215
1553,3.319995832978748,20216
1560,3.335708291037008,20221
1562,3.3387672499520704,20232
1950,4.104680374963209,20244
1953,4.111558208009228,20292
1965,4.136888999957591,20313
2039,4.280928957974538,20332
2044,4.290628290968016,20351
2067,4.342533958028071,20362
2072,4.351975333062001,20380
2135,4.510675415978767,20387
2137,4.513175625004806,20407
2153,4.5445946250110865,20435
2155,4.548933999962173,20466
2158,4.5571032910374925,20480
2162,4.562689583050087,20509
2169,4.574956582975574,20544
2629,5.495746750035323,20623
2635,5.503272625035606,20648
3779,7.816029708017595,20664
3795,7.845963999978267,20700
3799,7.853123915963806,20740
3808,7.8741045410279185,20751
3831,7.912786790984683,20780
3832,7.913781250012107,20799
3854,7.963102750014514,20808
3859,7.971891083056107,20844
3860,7.973389458027668,20859
3862,7.979294375050813,20861
3864,7.9844437499996275,20863
3944,8.160233958042227,20883
4134,8.530874124960974,20906
4262,8.77893137501087,20944
4276,8.808273707982153,20957
4279,8.81396225001663,20973
4297,8.854740374954417,20979
4304,8.868991583003663,21009
4305,8.871009916067123,21021
4883,10.004222666029818,21060
4887,10.01804637501482,21087
4901,10.047771082958207,21090
4912,10.068732375046238,21107
4913,10.071684041060507,21154
4916,10.076675500022247,21157
6555,13.292401832994074,21166
6558,13.298221874982119,21198
13072,25.876574791036546,21212
13078,25.887890957994387,21231
13301,26.304874125053175,21237
13304,26.310433665988967,21250
13307,26.31627125001978,21260
13315,26.33483750000596,21271
13320,26.3437780829845,21294
13346,26.392397625022568,21300
13349,26.396730749984272,21302
13352,26.4006840409711,21305
13421,26.53071750001982,21333
13424,26.534197250031866,21346
13544,26.769988666055724,21351
13545,26.771800374961458,21355
13548,26.777333833044395,21364
13574,26.832187916035764,21409
13592,26.863599083037116,21413
13681,27.032160375034437,21426
13699,27.077789708040655,21436
13724,27.12486020801589,21440
14172,27.984561666031368,21455
14175,27.98804891598411,21483
14195,28.029525415971875,21488
14213,28.066443874966353,21497
14215,28.069813500042073,21510
14253,28.14473820803687,21513
14428,28.499085666029714,21534
18729,36.79586199996993,21557
18734,36.80229062505532,21574
18741,36.818933874950744,21590
22264,43.630049083032645,21598
22270,43.63975854101591,21602
22710,44.45756266603712,21615
22730,44.49038508301601,21626
22881,44.771277041058056,21627
23617,46.16593079105951,21634
23677,46.2749258329859,21648
23739,46.394347207969986,21652
23744,46.40363816602621,21679
23748,46.411633540992625,21705
23752,46.41929779096972,21714
26207,51.14636625000276,21716
28972,56.5451385830529,21719
30898,60.23432920803316,21724
31598,61.60251341597177,21742
31661,61.71526787499897,21746
31664,61.72277770796791,21763
31708,61.83295087504666,21770
33571,65.49539354105946,21782
33577,65.50458525004797,21786
40152,77.91550600004848,21792
40261,78.12851241603494,21795
40282,78.16692866606172,21798
40300,78.20216695801355,21810
40301,78.20342854096089,21812
40375,78.33798412501346,21828
41903,81.16632091603242,21835
41979,81.31523258297238,21841
42029,81.40734829101712,21845
42032,81.41387620801106,21863
42066,81.47641554102302,21867
46330,89.42803208297119,21870
46339,89.44534712505993,21876
46353,89.47699479095172,21878
46659,90.04475391597953,21882
46863,90.420363540994,21893
46867,90.42705945798662,21894
46896,90.48654920805711,21904
46958,90.60467145801522,21905
47241,91.13247695798054,21910
58730,113.65949350001756,21915
58829,113.82904724997934,21926
58844,113.85100691602565,21929
59235,114.5882686660625,21944
69991,134.93449645803776,21949
71886,138.44189220806584,21960
72011,138.8355622079689,21975
76051,146.84050320798997,21978
85239,164.5529022499686,21994
87014,167.93669770797715,21995
104319,201.2514186250046,21996
118379,227.36536633304786,21998
118530,227.6334459159989,21999
118583,227.72698033298366,22009
121235,232.65203029103577,22013
151217,288.48746758303605,22015
164123,314.17113104101736,22016
