iteration,elapsed_seconds,objective_value
0,0.0,10426
1,0.0013826250797137618,10483
13,0.01797783304937184,10487
14,0.019736833055503666,10647
16,0.021911583025939763,10770
17,0.024635749985463917,10896
20,0.031158916070125997,10970
21,0.032407833030447364,11150
27,0.040566666051745415,11218
28,0.04161887499503791,11307
36,0.05095420801080763,11393
38,0.052668208023533225,11414
40,0.05456779105588794,11424
41,0.056569833075627685,11509
42,0.060063624987378716,11527
43,0.060918416013009846,11682
48,0.07023266609758139,11711
49,0.07151587505359203,11758
56,0.08768441609572619,11819
60,0.09399779106024653,11841
64,0.10070220800116658,11846
65,0.10123754106462002,11898
66,0.10263845801819116,11915
88,0.12831350008491427,11935
119,0.17045054107438773,11958
205,0.3016404580557719,11971
207,0.30489862500689924,12049
212,0.31310758308973163,12056
214,0.31583062501158565,12082
225,0.3278022080194205,12092
248,0.36118670809082687,12093
257,0.3713319160742685,12134
258,0.3720998330973089,12144
270,0.3882893330883235,12159
279,0.39969754102639854,12205
417,0.5892239999957383,12276
435,0.615853708004579,12295
542,0.7608333750395104,12339
546,0.7670639579882845,12347
552,0.7727162080118433,12348
690,0.9456580830737948,12367
701,0.9598283329978585,12373
703,0.9623110410757363,12397
705,0.9649526249850169,12401
709,0.9691942080389708,12428
762,1.033384416019544,12451
764,1.0356033330317587,12463
766,1.0366847910918295,12466
773,1.0489167909836397,12477
774,1.0495862080715597,12516
1615,2.0942815830931067,12518
1653,2.1413108750712126,12521
1694,2.192927958094515,12539
1700,2.1994249160634354,12556
1706,2.2078237080713734,12569
1709,2.2114163750084117,12589
1838,2.370476166019216,12599
1864,2.3967308329883963,12626
1949,2.498465207987465,12640
1973,2.5233218329958618,12678
1977,2.528025708044879,12693
1982,2.534303166088648,12711
1984,2.5363930000457913,12716
1985,2.5370222500059754,12742
2520,3.188092750031501,12757
2522,3.18962320801802,12769
2526,3.193630125024356,12786
3414,4.3234914160566404,12787
3418,4.327634416054934,12796
6896,8.562436165986583,12803
6911,8.581029208027758,12809
6929,8.600345832994208,12819
7165,8.878757500089705,12825
7768,9.599017333006486,12829
7801,9.642139458097517,12859
7905,9.769097874988802,12875
10445,12.857970916084014,12891
10452,12.864348208066076,12894
25818,31.119145916076377,12895
27811,33.423566041048616,12898
27817,33.431071625091136,12951
29993,35.92831891600508,12980
29994,35.928967375075445,12991
30114,36.054233791073784,13017
46990,55.577944958000444,13023
47006,55.593307250062935,13024
47061,55.64692033303436,13028
63562,74.40195262501948,13034
63568,74.40795520809479,13037
63600,74.44648200005759,13048
64574,75.47594700008631,13051
64613,75.51609933306463,13065
64624,75.52813395799603,13066
65497,76.49511737504508,13078
65544,76.54665137501433,13083
67420,78.64856724999845,13091
67445,78.67675162502564,13095
67671,78.92222695809323,13101
74126,86.24784525006544,13102
75036,87.29816054098774,13103
75273,87.55719900003169,13106
76728,89.38737441599369,13121
76757,89.41678754100576,13127
83300,97.29966004099697,13128
83333,97.33930450002663,13134
83473,97.49550687498413,13137
85125,99.47258816601243,13144
85153,99.51002074999269,13146
85188,99.55142416607123,13152
85260,99.634828499984,13157
85497,99.89983979100361,13158
85732,100.17841291602235,13165
85761,100.21381954103708,13169
86480,101.07038650009781,13176
86673,101.29673491604626,13184
86778,101.4200471250806,13193
479413,557.1504851250211,13198
