iteration,elapsed_seconds,objective_value
0,0.0,20995
1,0.006450249929912388,21034
2,0.008742333040572703,21220
3,0.014044750016182661,21517
4,0.022717915941029787,21558
5,0.04923212493304163,21678
6,0.05155829095747322,22028
7,0.054941499955020845,22103
10,0.09109354100655764,22188
11,0.09501579101197422,22488
12,0.09960774995852262,22505
14,0.10973216593265533,22562
15,0.11317324999254197,22654
19,0.1336260000243783,22825
22,0.14926270802970976,22989
23,0.15846924996003509,23031
25,0.17014758300501853,23034
35,0.22776270797476172,23187
38,0.2440424159867689,23194
39,0.24946654099039733,23356
55,0.3557729159947485,23462
66,0.4224956249818206,23561
70,0.4547446659998968,23626
72,0.46527883294038475,23781
79,0.5108710409840569,23970
81,0.5202511249808595,24024
84,0.5321971660014242,24096
88,0.5569981249282137,24141
92,0.581839791033417,24183
256,1.7808601249707863,24282
267,1.8839824160095304,24331
308,2.3038529999321327,24362
312,2.344008749932982,24376
314,2.3549094159388915,24380
362,2.641420540981926,24398
365,2.6577164159389213,24448
366,2.6595813329331577,24454
368,2.6712302910164,24548
377,2.729728707927279,24572
380,2.74486308300402,24674
383,2.7609360410133377,24701
391,2.8089254159713164,24729
393,2.8406510000349954,24748
408,2.936847541015595,24835
409,2.9409318329999223,24858
410,2.947287500021048,24948
415,2.975101707968861,24981
491,3.3705350409727544,25013
605,4.286260665976442,25056
621,4.392968375002965,25121
639,4.575903374934569,25147
641,4.599802415934391,25155
643,4.60970270796679,25186
691,5.014653082937002,25218
692,5.017555124941282,25233
697,5.045853874995373,25241
699,5.072234333027154,25253
704,5.10462841601111,25334
801,5.650773040950298,25354
809,5.698154791025445,25356
813,5.738639749935828,25367
816,5.7582913329824805,25446
1047,7.135612332960591,25475
1405,9.18997649999801,25509
1412,9.218410665984266,25544
1414,9.227211833000183,25558
1415,9.233578249928541,25633
1418,9.241669374983758,25649
1419,9.245023541036062,25678
2874,16.396523457951844,25730
4264,23.00602766603697,25753
4272,23.046712499926798,25777
4317,23.282127207960002,25801
4386,23.59513466595672,25827
4421,23.75262541603297,25830
4424,23.76321816595737,25849
4425,23.765953041031025,25855
4426,23.768719582934864,25869
4428,23.774916291004047,25888
4430,23.783888790989295,25900
6374,32.79816954093985,25904
6395,32.916767874965444,25950
6399,32.93410883296747,25964
6405,32.956719790934585,26000
6813,34.911335499957204,26010
7002,35.81272762501612,26047
7013,35.858538707951084,26060
7014,35.863028915948234,26083
7015,35.86487970803864,26183
7626,38.63663129101042,26204
7631,38.65802650002297,26221
7839,39.60208679095376,26265
7846,39.6349008330144,26299
7852,39.65415670792572,26304
9249,45.862421832978725,26364
9261,45.90905012493022,26374
9263,45.916807499947026,26398
9283,46.00660679093562,26442
9285,46.01297749998048,26451
14841,71.53098045801744,26453
14869,71.65272883302532,26457
14876,71.67531262501143,26472
14917,71.85746374994051,26481
14924,71.88956854096614,26483
14929,71.91515983303543,26496
14980,72.14056450000498,26512
15001,72.21883470797911,26517
15376,73.88080549996812,26532
15390,73.94275145803113,26544
15450,74.2286651659524,26552
15458,74.26233916601632,26571
15478,74.3535553329857,26582
15493,74.41836833301932,26587
15846,75.97678675001953,26616
16038,76.83193329093046,26619
16187,77.47399116598535,26622
16204,77.5564312080387,26652
16225,77.63572162494529,26654
16234,77.67135979095474,26681
16255,77.77294662501663,26687
19621,92.63439308293164,26690
19832,93.62537091597915,26718
19838,93.6483976249583,26722
19841,93.65983045799658,26729
19877,93.80577974999323,26738
19907,93.9606374159921,26742
19916,94.0000227909768,26743
19937,94.09397787495982,26749
19996,94.34943037503399,26758
20032,94.5066782910144,26763
20038,94.53128062502947,26766
20050,94.58025220793206,26778
20065,94.67055516596884,26779
20116,94.96763066598214,26780
20150,95.16888070793357,26820
20295,95.92166250001173,26821
20467,96.76288412499707,26829
24436,114.8593974999385,26835
25572,120.22052312502638,26849
25934,122.02229666593485,26876
25950,122.11121733300388,26886
25994,122.3737736250041,26900
26016,122.47560108301695,26903
26021,122.49154295795597,26924
26457,124.48904725001194,26954
26510,124.71822095802054,26968
33622,156.61893687502015,26974
33976,158.21771074994467,26980
34411,160.23035979096312,26982
35032,163.06521654094104,26992
35214,163.9035960829351,26993
35715,166.27982874994632,27002
36043,167.77202387503348,27003
36044,167.77572916599456,27009
38443,178.83495766599663,27011
43432,202.12345808302052,27012
43944,204.45174708298873,27014
45259,210.59471695800312,27029
47765,222.3968853750266,27031
47813,222.61756687494926,27032
48017,223.60390924999956,27038
50464,235.34912145801354,27048
50473,235.39346341602504,27056
53059,247.63787758303806,27069
54054,252.30924362502992,27073
55998,261.16086824995,27075
56978,265.62541541596875,27077
57000,265.7251532500377,27079
57086,266.0940669160336,27088
58028,270.28145429096185,27091
59616,277.5231043329695,27097
67838,314.75307412503753,27100
70029,324.36106979101896,27101
74495,344.6431974580046,27103
75696,350.0819052909501,27104
77024,356.2594553329982,27105
84069,388.2361858750228,27107
84315,389.3337734999368,27112
84699,391.1027433749987,27113
84788,391.54064575000666,27122
102325,472.7692909579491,27128
104738,485.1094487910159,27131
