iteration,elapsed_seconds,objective_value
0,0.0,11003
2,0.0033276249887421727,11070
3,0.004978916025720537,11161
4,0.00675974995829165,11239
5,0.007847500033676624,11351
6,0.008724458049982786,11414
8,0.011554208002053201,11480
9,0.01292162504978478,11548
11,0.018815916031599045,11717
12,0.02016900002490729,11825
13,0.02181554096750915,11921
15,0.029076250037178397,11958
16,0.030805957969278097,12015
20,0.04176362499129027,12059
21,0.04295287502463907,12106
23,0.047930915956385434,12178
24,0.04934570798650384,12297
28,0.05710870795883238,12321
29,0.059070958057418466,12324
54,0.11322137503884733,12451
55,0.1143893749685958,12468
56,0.11531287501566112,12489
63,0.13268399995286018,12530
72,0.15463337500113994,12600
75,0.16410279099363834,12673
88,0.19265720795374364,12690
91,0.1984907080186531,12730
93,0.20190808305051178,12837
97,0.2074199579656124,12854
100,0.21284087502863258,12883
113,0.23753945797216147,12886
118,0.24620725004933774,12898
120,0.2506070410599932,12917
130,0.26884062495082617,12975
138,0.284523457987234,12990
147,0.30479920795187354,13050
149,0.30797620804514736,13074
179,0.370620375033468,13123
201,0.4109575829934329,13133
242,0.4958180410321802,13179
244,0.4996421659598127,13220
333,0.6816647909581661,13316
368,0.7555744999554008,13349
370,0.7583804579917341,13365
372,0.7644946250366047,13435
376,0.7700309579959139,13458
517,1.0335043750237674,13565
544,1.0795456250198185,13572
578,1.1411223330069333,13625
585,1.1537737910402939,13639
630,1.2456318329786882,13652
634,1.252696083043702,13686
643,1.264616374974139,13690
649,1.274685375043191,13730
687,1.3463328749639913,13732
758,1.4838674999773502,13738
759,1.484773457981646,13741
762,1.4899736660299823,13748
858,1.6643879580078647,13779
1053,2.037552749970928,13795
1059,2.045448165968992,13842
1201,2.3138798750005662,13852
1205,2.3205043750349432,13893
1207,2.3233257910469547,13937
1275,2.45911850000266,13957
1280,2.4666878749849275,13973
1281,2.4677423329558223,13977
1333,2.5706506660208106,14007
1371,2.63713575003203,14025
1549,2.9752361660357565,14049
1565,3.0057271249825135,14065
1567,3.0086956250015646,14069
1582,3.0463396250270307,14070
2158,4.13684287504293,14092
2165,4.147236624965444,14098
3370,6.417890583048575,14121
3430,6.533612000057474,14131
3431,6.535576915950514,14139
3489,6.6406058750581,14151
3499,6.663130125030875,14157
3522,6.71336158295162,14175
4414,8.452279707998969,14182
4428,8.480725500034168,14192
4430,8.484343874966726,14200
4449,8.527445666026324,14236
4458,8.547720332979225,14242
4459,8.54907062498387,14275
4607,8.817925791023299,14276
4623,8.843839416047558,14285
4648,8.886692165979184,14326
9940,18.295715125044808,14348
9942,18.301085749990307,14373
15031,27.41151391598396,14386
15036,27.42076879099477,14423
15042,27.429856083006598,14425
15049,27.441099415998906,14432
15065,27.465944375027902,14454
15072,27.479166125063784,14467
15221,27.735515999956988,14477
15227,27.74734779098071,14487
15260,27.801597540965304,14491
15264,27.808928166050464,14508
15292,27.859917958034202,14535
15309,27.885857708053663,14557
15316,27.89862133306451,14574
15371,27.99980762496125,14577
15469,28.178844874957576,14598
16111,29.29773470805958,14599
25906,46.790987791027874,14627
25922,46.819084290997125,14629
25960,46.89031950000208,14664
26047,47.042875415994786,14674
26068,47.083454665960744,14675
26072,47.0913313330384,14686
38893,70.00704633304849,14688
38935,70.07615183305461,14696
38964,70.12730100005865,14734
57397,102.50718937499914,14735
57816,103.21201966598164,14737
57928,103.3994755409658,14744
57943,103.42244870797731,14750
67121,119.02128658303991,14756
68499,121.36535866605118,14766
68502,121.37061045796145,14768
68691,121.68107316596434,14777
68845,121.93904754100367,14797
69206,122.5644040000625,14810
69354,122.82189379096963,14814
80021,141.35272329102736,14819
80034,141.37670033297036,14823
80093,141.48297591600567,14824
80366,141.94847308297176,14844
90660,159.772214791039,14856
90919,160.21308429096825,14858
90957,160.27566408296116,14860
91774,161.76120545796584,14861
93378,164.83787625003606,14869
93917,165.84485533297993,14878
95545,168.7499772500014,14890
