iteration,elapsed_seconds,objective_value
0,0.0,22960
7,0.03999245900195092,23084
10,0.07694529206492007,23257
11,0.0791774169774726,23457
12,0.08195895899552852,23554
13,0.08402020903304219,23662
17,0.09802074998151511,24249
18,0.10314570902846754,24266
19,0.11524058401118964,24370
20,0.11835025006439537,24529
21,0.1218243750045076,24832
22,0.12405358406249434,24910
25,0.14461741701234132,24949
26,0.1487787920050323,25163
28,0.15591962507460266,25373
29,0.17033350002020597,25556
30,0.1717730420641601,25581
31,0.17623095901217312,25704
32,0.17930870898999274,25756
33,0.18390275002457201,26098
35,0.18991475005168468,26260
42,0.22308224998414516,26303
47,0.24609054205939174,26339
48,0.24985287501476705,26348
49,0.2521059999708086,26353
54,0.2818585840286687,26371
55,0.2867682920768857,26652
56,0.289686833973974,26796
59,0.3033465420594439,26844
61,0.30919533397536725,27011
63,0.31602650007698685,27059
81,0.39514387503731996,27110
85,0.4073992919875309,27179
141,0.6905329170404002,27192
144,0.7021522499853745,27197
145,0.7044188750442117,27239
154,0.7578327499795705,27333
208,1.041417209082283,27382
210,1.0520488750189543,27426
254,1.2942341250600293,27440
257,1.3030647500418127,27502
258,1.306679583969526,27601
263,1.3420610839966685,27620
288,1.4581603750120848,27639
290,1.465259458986111,27710
294,1.4901911669876426,27758
299,1.520612834021449,27830
301,1.529412709060125,27866
303,1.5428774170577526,27921
305,1.5489379999926314,27985
356,1.8133185000624508,28039
363,1.8404505420476198,28083
369,1.8640037920558825,28113
372,1.8722317500505596,28134
376,1.8850867920555174,28162
382,1.903614667011425,28164
391,1.9423624590272084,28200
402,2.002500958973542,28247
409,2.0338559170486405,28267
413,2.0641535840695724,28310
415,2.068144917022437,28335
418,2.076956709031947,28392
420,2.0825816669967026,28405
478,2.3001609590137377,28483
502,2.407915167044848,28499
511,2.4463675420265645,28561
575,2.7650797499809414,28744
921,4.259492084034719,28761
1052,4.827090709004551,28846
1054,4.836690208991058,28869
1056,4.843200625036843,28871
1066,4.877648875000887,28904
1071,4.892689167056233,28925
1093,5.01366258400958,28996
1784,7.9734351669903845,29138
1793,8.009222291992046,29142
1795,8.019673375063576,29143
1796,8.024301834055223,29248
2069,9.089690666995011,29253
2070,9.09350366704166,29260
2074,9.111468750052154,29381
2075,9.11277029197663,29411
2079,9.124887917074375,29418
2108,9.22540595906321,29425
2109,9.231111375032924,29462
3027,12.770634792046621,29467
