iteration,elapsed_seconds,objective_value
0,0.0,30193
9,0.060923125012777746,30721
10,0.06679420894943178,30910
13,0.10847087495494634,31083
15,0.12353429198265076,31205
17,0.14235720899887383,31439
18,0.14862966700457036,31461
21,0.1660693339072168,31529
22,0.1922142499824986,31535
29,0.2553043339867145,31804
38,0.34008083399385214,31866
39,0.3458662920165807,31994
41,0.35724799998570234,32039
42,0.3621342919068411,32086
44,0.39154529199004173,32145
47,0.42132629198022187,32202
48,0.42510837491136044,32259
49,0.43181216693483293,32382
54,0.46800529200118035,32641
57,0.5078022920060903,32673
59,0.5203448339598253,32712
66,0.581368500017561,32757
67,0.5832114169606939,32772
69,0.599612292018719,32992
92,0.7839578340062872,33084
94,0.7961036670021713,33191
95,0.7996828339528292,33289
127,1.0743696669815108,33315
130,1.1055990419117734,33433
135,1.1347536669345573,33447
137,1.1406600419431925,33491
140,1.1614930420182645,33585
142,1.177285666926764,33712
152,1.2253996669314802,33732
153,1.2305827089585364,33804
190,1.5524377919500694,33886
194,1.5777553339721635,33959
198,1.5949509169440717,33994
205,1.6537267089588568,34018
229,1.8766564169200137,34057
230,1.8808514999691397,34139
231,1.8855072919977829,34162
233,1.899254833930172,34366
247,2.0172602919628844,34502
249,2.029398249927908,34505
251,2.0369713340187445,34618
259,2.0916352089261636,34634
273,2.183163416921161,34665
276,2.1994124999037012,34670
327,2.5018050839425996,34764
355,2.737531083985232,34819
362,2.78856029198505,34854
365,2.8069817499490455,34887
385,2.943372374982573,34940
536,4.016012416919693,34943
538,4.023640166968107,35000
539,4.027374249999411,35015
543,4.083253874909133,35029
545,4.097179124946706,35196
559,4.164704208960757,35199
565,4.203621666994877,35204
701,5.132293541915715,35258
738,5.349028958939016,35308
749,5.402773250010796,35352
750,5.40764616697561,35406
834,5.948294874979183,35411
846,6.002975416951813,35433
851,6.042045208974741,35485
898,6.385502208955586,35540
900,6.399117708904669,35577
909,6.483835458988324,35626
1091,7.663449791958556,35640
1153,8.130093874991871,35763
1160,8.17624708393123,35911
1561,10.904863208997995,35958
1615,11.276240209001116,35964
1616,11.280940916971304,35988
1617,11.289396374952048,35996
1619,11.298594708903693,36037
1623,11.316537458915263,36057
1624,11.32345612498466,36140
1632,11.391211833921261,36182
3110,20.72255383396987,36244
3111,20.72748454194516,36350
3234,21.516119916923344,36355
3638,23.966529583907686,36427
3643,23.989884666982107,36462
3645,23.998642041929998,36494
3649,24.022801292012446,36500
3651,24.032900874968618,36512
3656,24.06051216693595,36514
3663,24.100166333955713,36519
3664,24.10395708400756,36561
3665,24.106926666921936,36634
3669,24.135711458977312,36733
3670,24.143171999952756,36738
3672,24.15307016693987,36750
7070,44.787953416933306,36812
7924,49.93628529191483,36823
7930,49.95851212495472,36832
7933,49.97130679199472,36850
7934,49.97806474997196,36854
7942,50.04146295890678,36858
7946,50.063827999983914,36878
8199,51.5965616669273,36889
8207,51.641676874947734,36954
9589,59.70283804193605,36962
9594,59.72971241699997,36984
9694,60.36483183398377,37085
9875,61.54417020897381,37117
11348,70.32409649994224,37127
11372,70.43665616691578,37145
11377,70.47175154194701,37165
11380,70.48861295892857,37184
11386,70.52087633393239,37200
11455,70.92010433401447,37214
11474,71.03461845894344,37225
11475,71.04038625000976,37230
12678,77.92150670895353,37267
12679,77.92499541700818,37274
12867,79.06886979192495,37292
12886,79.20014812494628,37300
12889,79.22156049998011,37317
12901,79.30096404196229,37327
12937,79.52237945899833,37360
12943,79.5611954999622,37370
12983,79.848001583945,37375
13045,80.23345533397514,37379
13136,80.86643549997825,37414
13149,80.96521045896225,37454
13240,81.58764749998227,37462
15880,97.60143354197498,37471
16115,99.35332604194991,37476
16116,99.36014633392915,37482
16118,99.37237845896743,37489
16126,99.42836595897097,37506
16162,99.66788962495048,37509
16165,99.67963949998375,37538
16167,99.68643579201307,37541
